Part Number;Req numero;Req status;Req data;qtd;Valor unitario;IGPM acumulado
DCN4-5066;RF9267002F3;Recebida no Solicitante;1999-09;120;81,20;4,60507468
DCN4-5066;RF9098068F3;Recebida no Solicitante;1999-04;20;80,00;4,78642505
DCN4-9259;RF0215041F3;Recebida no Solicitante;2000-08;128;7,80;4,08612747
DCN4-4943;SP0131302F2;Recebida no Solicitante;2000-07;30;3,70;4,15027967
DCN4-6378;AF9093015GA;Recebida no Solicitante;1999-04;168;3,20;4,78642505
DCN4-5417;RFB083043R1;Recebida no Solicitante;2008-03;100;15,00;2,00245848
DCN4-5417;SP1313306F5;Recebida no Solicitante;2001-11;100;15,00;3,57485630
DCN3-9770;RF6265001F7;Recebida no Solicitante;2006-09;50;30,50;2,23303880
DCN4-3566;LS5053338T9;Recebida no Solicitante;2005-02;100;2,22;2,29540621
DCN4-3566;LS4132054T9;Recebida no Solicitante;2004-05;100;0,34;2,49171686
DCN4-3566;RF2133302R1;Recebida no Solicitante;2002-05;50;0,15;3,49072735
DCN4-3566;RF1257002F3;Recebida no Solicitante;2001-09;560;0,15;3,62825242
DCN4-3566;SP1151318F3;Recebida no Solicitante;2001-06;1830;0,11;3,76934254
DCN4-3566;SP1075338A1;Recebida no Solicitante;2001-05;3;0,20;3,80175888
DCN4-538;RF4103344F3;Recebida no Solicitante;2004-04;1000;4,99;2,52186664
DCN4-9166;RF2261009A5;Recebida no Solicitante;2002-09;10;29,60;3,26844545
DCN4-10068;CF8F98004F3;Recebida no Solicitante;1999-02;800;4,90;5,09956078
DCN4-1364;LSC346004T9;Recebida no Solicitante;2009-12;100;7,40;1,88067460
DCN4-1364;LS5287011T9;Recebida no Solicitante;2005-10;100;2,10;2,29961161
DCN3-5609;AFA170016A7;Recebida no Solicitante;2007-06;100;149,00;2,16676154
DCN3-5609;AF5118249A7;Recebida no Solicitante;2005-04;30;353,00;2,26925194
DCN3-5609;AF4141490A7;Recebida no Solicitante;2004-05;10;165,00;2,49171686
DCN3-5609;AF3238014A7;Recebida no Solicitante;2003-08;30;178,00;2,67021721
DCN3-5609;LS2108028T9;Recebida no Solicitante;2002-04;30;195,00;3,51027543
DCN3-5609;LS1235029T9;Recebida no Solicitante;2001-11;10;234,50;3,57485630
DCN3-5609;LS1272576T9;Recebida no Solicitante;2001-09;2;349,50;3,62825242
DCN3-5609;LS0289576T9;Recebida no Solicitante;2000-10;2;398,00;3,94498673
DCN3-5609;CP0239002CP;Recebida no Solicitante;2000-08;50;98,00;4,08612747
DCN3-5609;LS0213508T9;Recebida no Solicitante;2000-08;30;141,13;4,08612747
DCN3-5609;LS0213501T9;Recebida no Solicitante;2000-08;20;141,13;4,08612747
DCN3-5609;LS0117506T9;Recebida no Solicitante;2000-05;20;220,00;4,19853227
DCN3-5609;LS0083512T9;Recebida no Solicitante;2000-04;15;230,00;4,20818890
DCN3-5609;LS9148501T9;Recebida no Solicitante;1999-06;10;250,00;4,76650387
DCN2-10567;SP5232001CF;Recebida no Solicitante;2005-08;56;176,90;2,27255541
DCN2-10567;SP4052002CF;Recebida no Solicitante;2004-02;60;172,00;2,56796124
DCN1-10397UF;LS4202007T1;Recebida no Solicitante;2004-07;10;369,00;2,42601839
DCN1-10397UF;LS1356001CF;Recebida no Solicitante;2001-12;10;369,00;3,53596073
DCN4-9523;LS6194036T9;Recebida no Solicitante;2006-07;700;1,60;2,24533539
DCN4-1520-2;AFE102001A7;Recebida no Solicitante;2011-04;500;9,31;1,65363667
DCN4-1520-2;SPC154013F5;Recebida no Solicitante;2009-06;100;19,80;1,87461790
DCN3-10821;LSC182018T1;Recebida no Solicitante;2009-07;12;475,00;1,87649440
DCN3-5416;RFB268047A6;Recebida no Solicitante;2008-09;12;237,00;1,87818620
DCN3-5416;GL9254001A5;Recebida no Solicitante;1999-09;41;21,50;4,60507468
DCN3-5416;CP9130001A5;Recebida no Solicitante;1999-05;41;18,50;4,75268101
DCN4-8727;AF3107307A7;Recebida no Solicitante;2003-04;72;0,25;2,64972323
DCN4-8727;AF0404811A7;Recebida no Solicitante;2000-09;33;1,20;3,99074858
DCN4-6481;AF1295013A7;Recebida no Solicitante;2001-10;19;0,00;3,61703960
DCN4-6481;AF1078985A7;Recebida no Solicitante;2001-03;2;25,00;3,86127922
DCN4-6481;AF0404772A7;Recebida no Solicitante;2000-09;1;30,00;3,99074858
DCN4-4845-6;RF1279005CF;Recebida no Solicitante;2001-10;120;60,00;3,61703960
DCN4-4585;RF0215084F3;Recebida no Solicitante;2000-08;40;10,50;4,08612747
DCN4-10795;LSC182020T1;Recebida no Solicitante;2009-07;12;33,20;1,87649440
DCN3-5557;SP4192001A7;Recebida no Solicitante;2004-07;100;6,20;2,42601839
DCN3-5557;SP2192350A7;Recebida no Solicitante;2002-07;100;24,00;3,40948672
DCN4-2636;SP4125306F2;Recebida no Solicitante;2004-05;100;0,49;2,49171686
DCN4-6274;LSH085042SS;Recebida no Solicitante;2014-03;600;8,80;1,40448831
DCN4-6274;AFF222026A7;Recebida no Solicitante;2012-08;200;5,00;1,54120905
DCN4-6274;LSA107030GL;Recebida no Solicitante;2007-04;100;5,95;2,16849530
